Date,Open,High,Low,Close,Adj Close,Volume,RSI,%K,%R
1980-12-12,0.1283479928970337,0.1289059966802597,0.1283479928970337,0.1283479928970337,0.09894318878650665,469033600,,,
1980-12-15,0.12221000343561172,0.12221000343561172,0.12165199965238571,0.12165199965238571,0.09378128498792648,175884800,,,
1980-12-16,0.1132809966802597,0.1132809966802597,0.11272300034761429,0.11272300034761429,0.08689792454242706,105728000,,,
1980-12-17,0.11551299691200256,0.11607100069522858,0.11551299691200256,0.11551299691200256,0.08904875814914703,86441600,,,
1980-12-18,0.11886200308799744,0.11941999942064285,0.11886200308799744,0.11886200308799744,0.0916304886341095,73449600,,,
1980-12-19,0.12611599266529083,0.12667399644851685,0.12611599266529083,0.12611599266529083,0.09722257405519485,48630400,,,
1980-12-22,0.1322540044784546,0.1328130066394806,0.1322540044784546,0.1322540044784546,0.10195434838533401,37363200,,,
1980-12-23,0.13783499598503113,0.13839299976825714,0.13783499598503113,0.13783499598503113,0.10625668615102768,46950400,,,
1980-12-24,0.14508900046348572,0.14564700424671173,0.14508900046348572,0.14508900046348572,0.1118488684296608,48003200,,,
1980-12-26,0.15848200023174286,0.15904000401496887,0.15848200023174286,0.15848200023174286,0.12217342853546143,55574400,,,
1980-12-29,0.16071400046348572,0.16127200424671173,0.16071400046348572,0.16071400046348572,0.1238940879702568,93161600,,,
1980-12-30,0.15736599266529083,0.15736599266529083,0.156808003783226,0.156808003783226,0.12088299542665482,68880000,,,
1980-12-31,0.1529020071029663,0.1529020071029663,0.1523440033197403,0.1523440033197403,0.11744172871112823,35750400,,,
1981-01-02,0.15401799976825714,0.15513400733470917,0.15401799976825714,0.15401799976825714,0.11873216927051544,21660800,67.42466172982162,85.05838658702234,-14.941613412977658
1981-01-05,0.15122799575328827,0.15122799575328827,0.15067000687122345,0.15067000687122345,0.11615123599767685,35728000,64.4933123938886,78.16227620751374,-21.837723792486255
1981-01-06,0.1445309966802597,0.1445309966802597,0.1439729928970337,0.1439729928970337,0.11098849028348923,45158400,64.4924575557618,64.36793762930398,-35.63206237069601
1981-01-07,0.13839299976825714,0.13839299976825714,0.13783499598503113,0.13783499598503113,0.10625668615102768,55686400,66.91772648564138,48.78165059340538,-51.21834940659462
1981-01-08,0.13560299575328827,0.13560299575328827,0.13504500687122345,0.13504500687122345,0.10410594195127487,39827200,63.15854144560437,38.1584610730452,-61.8415389269548
1981-01-09,0.14229899644851685,0.14285700023174286,0.14229899644851685,0.14229899644851685,0.10969801992177963,21504000,65.00006485153575,46.03196737987861,-53.9680326201214
1981-01-12,0.14229899644851685,0.14229899644851685,0.141183003783226,0.141183003783226,0.10883767902851105,23699200,60.46538586536889,30.770554056378746,-69.22944594362124
1981-01-13,0.1367190033197403,0.1367190033197403,0.13616099953651428,0.13616099953651428,0.10496626794338226,23049600,52.75649209745464,4.255129358932402,-95.74487064106759
1981-01-14,0.1367190033197403,0.1372770071029663,0.1367190033197403,0.1367190033197403,0.10539637506008148,14291200,49.15257344163605,6.382722446456493,-93.61727755354352
1981-01-15,0.13950900733470917,0.140625,0.13950900733470917,0.13950900733470917,0.10754721611738205,14067200,45.45469773200381,17.020631067961165,-82.97936893203884
1981-01-16,0.13895100355148315,0.13895100355148315,0.13839299976825714,0.13839299976825714,0.10668689012527466,13395200,29.544847635174094,12.765444892912987,-87.23455510708702
1981-01-19,0.14676299691200256,0.14732100069522858,0.14676299691200256,0.14676299691200256,0.11313929408788681,41574400,37.37305430861432,52.497636748165476,-47.502363251834524
1981-01-20,0.14285700023174286,0.14285700023174286,0.14229899644851685,0.14229899644851685,0.10969801992177963,30083200,36.99932785738719,36.10926083892742,-63.89073916107259
1981-01-21,0.14508900046348572,0.14620499312877655,0.14508900046348572,0.14508900046348572,0.1118488684296608,15904000,43.29816559350137,49.99747802544227,-50.00252197455772
1981-01-22,0.14676299691200256,0.1478790044784546,0.14676299691200256,0.14676299691200256,0.11313929408788681,35548800,43.29816559350137,72.40930662546431,-27.59069337453569
1981-01-23,0.14676299691200256,0.14732100069522858,0.14620499312877655,0.14620499312877655,0.11270912736654282,11222400,45.65127157804786,86.95643087283388,-13.043569127166121
